panel,x,sorted,random,maxwellian
a_density,3.475000,9.77461569e-06,0.0009570898998,0.0009521851725
a_density,3.525000,7.330961767e-06,0.0007959472126,0.0007993185281
a_density,3.575000,2.443653922e-06,0.0006665447516,0.0006693181615
a_density,3.625000,7.330961767e-06,0.0005566747376,0.0005590615222
a_density,3.675000,7.330961767e-06,0.0003833242711,0.0004658014753
a_density,3.725000,4.887307845e-06,0.0003784411594,0.0003871296016
a_density,3.775000,7.330961767e-06,0.000329610042,0.0003209417122
a_density,3.825000,2.443653922e-06,0.0002661295895,0.0002654056804
a_density,3.875000,0,0.0001806751341,0.0002189316378
a_density,3.925000,9.77461569e-06,0.0001977660252,0.0001801445393
a_density,3.975000,1.221826961e-05,0.0001440517961,0.0001478590603
b_survival,0.050000,0.00104675293,0.9600513916,0.9601223883
b_survival,0.051645,0.001040283203,0.9587398682,0.9588113813
b_survival,0.053345,0.001035888672,0.9573790283,0.9574573531
b_survival,0.055100,0.001030395508,0.9559658203,0.9560589002
b_survival,0.056913,0.001025634766,0.9545072021,0.9546145739
b_survival,0.058786,0.001020996094,0.9530114746,0.9531228792
b_survival,0.060720,0.001015869141,0.951454834,0.9515822734
b_survival,0.062718,0.001012939453,0.9498725586,0.9499911647
b_survival,0.064782,0.001009033203,0.9482298584,0.9483479106
b_survival,0.066913,0.001006469727,0.9465227051,0.9466508168
b_survival,0.069115,0.001003051758,0.9447580566,0.9448981351
b_survival,0.071389,0.0009992675781,0.9429345703,0.9430880623
b_survival,0.073738,0.0009971923828,0.9410479736,0.9412187385
b_survival,0.076164,0.0009946289063,0.9391099854,0.9392882454
b_survival,0.078671,0.0009927978516,0.9371081543,0.937294605
b_survival,0.081259,0.0009913330078,0.9350443115,0.9352357776
b_survival,0.083933,0.0009897460938,0.9329033203,0.9331096602
b_survival,0.086695,0.0009870605469,0.9307449951,0.9309140849
b_survival,0.089547,0.000984375,0.9284572754,0.9286468173
b_survival,0.092494,0.0009812011719,0.9260970459,0.9263055545
b_survival,0.095537,0.0009797363281,0.9237008057,0.9238879235
b_survival,0.098681,0.0009792480469,0.9212132568,0.9213914797
b_survival,0.101928,0.0009780273437,0.9186105957,0.9188137047
b_survival,0.105282,0.0009753417969,0.9159571533,0.9161520052
b_survival,0.108746,0.0009753417969,0.9131815186,0.9134037105
b_survival,0.112325,0.0009753417969,0.9103363037,0.9105660717
b_survival,0.116021,0.0009753417969,0.9073930664,0.9076362592
b_survival,0.119838,0.0009753417969,0.904338501,0.9046113618
b_survival,0.123781,0.0009753417969,0.90124646,0.9014883846
b_survival,0.127854,0.0009749755859,0.898024292,0.8982642478
